"Cancer cell type","Freq"
"lung_NSC",128
"glioma",58
"colorectal",56
"breast",51
"lung_small_cell",50
"melanoma",49
"ovary",48
"pancreas",41
"fibroblast_like",37
"stomach",37
"AML",36
"kidney",33
"upper_aerodigestive",33
"endometrium",28
"multiple_myeloma",28
"esophagus",27
"liver",25
"urinary_tract",25
"lymphoma_DLBCL",16
"neuroblastoma",16
"soft_tissue",16
"B-cell_lymphoma_other",15
"T-cell_ALL",15
"CML",14
"B-cell_ALL",13
"thyroid",12
"Ewings_sarcoma",10
"lymphoma_Burkitt",10
"T-cell_lymphoma_other",10
"mesothelioma",9
"bile_duct",8
"prostate",8
"lymphoma_Hodgkin",7
"osteosarcoma",6
"leukemia_other",5
"medulloblastoma",4
"cervix",3
"other",3
"chondrosarcoma",2
"meningioma",2
"giant_cell_tumour",1
