Name,entrez_id
ENSG00000000003.10,7105
ENSG00000000419.8,8813
ENSG00000000457.9,57147
ENSG00000000460.12,55732
ENSG00000000938.8,2268
ENSG00000000971.11,3075
ENSG00000001036.9,2519
ENSG00000001084.6,2729
ENSG00000001167.10,4800
ENSG00000001460.13,90529
ENSG00000001461.12,57185
ENSG00000001497.12,81887
ENSG00000001561.6,22875
ENSG00000001617.7,6405
ENSG00000001626.10,1080
ENSG00000001629.5,54467
ENSG00000001630.11,1595
ENSG00000001631.10,889
ENSG00000002016.12,5893
ENSG00000002330.9,572
ENSG00000002549.8,51056
ENSG00000002586.13,4267
ENSG00000002587.5,9957
ENSG00000002726.15,26
ENSG00000002745.8,51384
ENSG00000002746.10,23072
ENSG00000002822.11,8379
ENSG00000002834.13,3927
ENSG00000002919.10,29916
ENSG00000002933.3,55365
ENSG00000003056.3,4074
ENSG00000003096.9,90293
ENSG00000003137.4,56603
ENSG00000003147.13,3382
ENSG00000003249.9,79007
ENSG00000003393.10,57679
ENSG00000003400.10,843
ENSG00000003402.15,8837
ENSG00000003436.10,7035
ENSG00000003509.11,55471
ENSG00000003756.12,10181
ENSG00000003987.9,9108
ENSG00000003989.12,6542
ENSG00000004059.6,381
ENSG00000004139.9,23098
ENSG00000004142.7,26073
ENSG00000004399.8,23129
ENSG00000004455.12,204
ENSG00000004468.8,952
ENSG00000004478.5,2288
ENSG00000004487.11,23028
ENSG00000004534.10,10180
ENSG00000004660.10,84254
ENSG00000004700.11,5965
ENSG00000004766.11,55610
ENSG00000004776.7,126393
ENSG00000004777.14,115703
ENSG00000004779.5,4706
ENSG00000004799.7,5166
ENSG00000004809.9,85413
ENSG00000004838.9,51364
ENSG00000004846.12,340273
ENSG00000004848.6,170302
ENSG00000004864.9,10165
ENSG00000004866.14,7982
ENSG00000004897.7,996
ENSG00000004961.10,3052
ENSG00000004975.7,1856
ENSG00000005001.5,64063
ENSG00000005007.8,5976
ENSG00000005020.8,8935
ENSG00000005022.5,292
ENSG00000005059.11,55013
ENSG00000005073.5,3207
ENSG00000005075.11,5439
ENSG00000005100.8,56919
ENSG00000005102.8,4222
ENSG00000005108.11,221981
ENSG00000005156.7,3980
ENSG00000005175.5,79657
ENSG00000005187.7,6296
ENSG00000005189.15,81691
ENSG00000005194.10,57019
ENSG00000005206.12,56928
ENSG00000005238.15,80256
ENSG00000005243.5,51226
ENSG00000005249.8,5577
ENSG00000005302.13,10943
ENSG00000005339.8,1387
ENSG00000005379.11,9256
ENSG00000005421.4,5444
ENSG00000005436.9,6936
ENSG00000005448.12,84058
ENSG00000005469.7,54677
ENSG00000005471.11,5244
ENSG00000005483.15,55904
ENSG00000005486.12,57414
ENSG00000005513.9,30812
ENSG00000005700.10,25998
ENSG00000005801.12,7748
ENSG00000005810.13,23077
ENSG00000005812.6,26224
ENSG00000005844.13,3683
ENSG00000005884.13,3675
ENSG00000005893.11,3920
ENSG00000005955.8,NA
ENSG00000005961.13,3674
ENSG00000005981.8,51666
ENSG00000006007.7,51573
ENSG00000006016.6,9244
ENSG00000006025.7,114881
ENSG00000006042.7,26022
ENSG00000006047.8,51087
ENSG00000006059.3,3883
ENSG00000006062.9,9020
ENSG00000006071.7,6833
ENSG00000006075.11,NA
ENSG00000006114.11,NA
ENSG00000006118.10,54972
ENSG00000006125.12,163
ENSG00000006194.6,10127
ENSG00000006210.6,6376
ENSG00000006282.15,64847
ENSG00000006327.9,51330
ENSG00000006377.9,1750
